game_id,player_id,player_name,minute,penalty,own_goal,goal_type,goal_details
444124,8627,Dean Windass,77,0,0,against,77
444862,27359,Eugene Dadi,8,0,0,for,8
444862,14637,Joe Keith,65,0,0,against,65
445630,27359,Eugene Dadi,16,0,0,for,16
445630,18869,Iain Hume,24,0,0,for,24
445630,9708,Gareth Roberts,90,0,0,for,90
446017,3185,Paul Hall,22,0,0,for,22
446017,38732,Matt Mills,43,0,0,against,43
446584,32156,Ryan Taylor,7,0,0,for,7
446584,17470,Kevin Ellison,43,0,0,against,43
446584,9299,Jason Price,63,0,0,against,63
446584,33429,Craig Fagan,69,0,0,against,69
447083,36344,Chris Dagnall,53,0,0,for,53
448738,3185,Paul Hall,16,0,0,for,"16, 80"
448738,3185,Paul Hall,80,0,0,for,"16, 80"
448738,18869,Iain Hume,29,0,0,for,29
448738,4961,Jason McAteer,45,0,0,for,45
448738,14207,Theodore Whitmore,60,0,0,for,60
448717,3855,Mike Jackson,72,0,0,for,72
448717,27359,Eugene Dadi,86,0,0,for,86
448717,742,Steve Blatherwick,45,0,0,against,45
448717,40954,Carlos Logan,90,0,0,against,90
448716,27359,Eugene Dadi,11,0,0,for,11
448716,3185,Paul Hall,44,0,0,for,44
448716,14950,Michael McIndoe,3,0,0,against,3
448716,9803,Gregg Blundell,5,0,0,against,5
448716,29960,Ricky Ravenhill,52,0,0,against,52
448716,9568,Neil Roberts,81,0,0,against,81
449167,3855,Mike Jackson,42,0,0,for,42
449167,18869,Iain Hume,60,0,0,for,60
449167,38011,Chris Brunt,31,1,0,against,pen 31
449671,4961,Jason McAteer,66,0,0,for,66
450033,34640,Michael Turner,69,0,0,against,69
450994,32156,Ryan Taylor,20,0,0,for,20
450994,21860,Grant Smith,57,0,0,against,"57, 59"
450994,21860,Grant Smith,59,0,0,against,"57, 59"
451295,3185,Paul Hall,40,0,0,for,40
451736,626,David Beresford,65,0,0,for,65
451736,20578,Gareth Edds,6,0,0,against,"6, 84"
451736,20578,Gareth Edds,84,0,0,against,"6, 84"
451972,17477,Adam Boyd,32,0,0,against,"32, 68"
451972,17477,Adam Boyd,68,0,0,against,"32, 68"
452683,32156,Ryan Taylor,70,0,0,for,70
452683,626,David Beresford,87,0,0,for,87
441336,18869,Iain Hume,73,0,0,for,73
441336,21689,Anthony Kay,90,0,0,against,90
441895,32156,Ryan Taylor,37,1,0,for,pen 37
441895,18869,Iain Hume,52,0,0,for,52
441895,30913,Adam Griffin,39,0,0,against,39
441895,33620,Scott Vernon,71,0,0,against,71
441474,4961,Jason McAteer,57,0,0,for,57
441474,32156,Ryan Taylor,81,0,0,for,81
441851,27359,Eugene Dadi,8,0,0,for,8
441851,4961,Jason McAteer,66,0,0,for,66
441851,3982,Gary Jones,77,0,0,for,77
441851,3185,Paul Hall,90,0,0,for,90
441851,36629,Adebayo Akinfenwa,21,0,0,against,21
441704,32646,Leroy Lita,10,0,0,against,10
443187,18869,Iain Hume,8,0,0,for,8
443187,36344,Chris Dagnall,50,0,0,for,50
443187,21318,Jorge Leitao,62,0,0,against,62
443327,3185,Paul Hall,3,0,0,for,3
443327,2396,David Eyres,35,0,0,against,35
442832,36344,Chris Dagnall,21,0,0,for,21
442832,18869,Iain Hume,42,0,0,for,42
442832,9708,Gareth Roberts,49,0,0,for,49
442832,14207,Theodore Whitmore,79,0,0,for,79
442832,3185,Paul Hall,81,0,0,for,81
442832,235,Chris Armstrong,67,0,0,against,67
396937,3982,Gary Jones,23,0,0,for,23
396937,5857,Shane Nicholson,39,1,0,for,"pen 39, pen 81"
396937,5857,Shane Nicholson,81,1,0,for,"pen 39, pen 81"
396937,3343,Simon Haworth,76,0,0,for,76
396937,17143,Stephen Hunt,64,1,0,against,pen 64
396624,27359,Eugene Dadi,89,0,0,for,89
398198,3982,Gary Jones,69,0,0,for,69
398198,3838,Rodney Jack,6,0,0,against,6
398198,23804,David Bell,33,0,0,against,33
406876,27359,Eugene Dadi,45,0,0,for,45
406876,9511,Luke Beckett,90,0,0,against,90
399208,3982,Gary Jones,14,0,0,for,14
399208,8950,Wayne Andrews,30,0,0,against,30
399828,7432,Paul Smith,57,0,0,against,57
399828,1627,Terry Cooke,61,0,0,against,61
400766,15336,Aaron Brown,23,0,0,against,23
400766,6199,Lee Peacock,76,0,0,against,76
401317,3343,Simon Haworth,7,0,0,for,"7, 56"
401317,3343,Simon Haworth,56,0,0,for,"7, 56"
401317,7545,Mark Stallard,4,0,0,against,4
401317,9302,Clive Platt,71,0,0,against,71
402289,3343,Simon Haworth,19,0,0,for,19
402289,3990,Lee Jones,64,0,0,against,64
402289,14890,Shaun Holmes,65,0,0,against,65
402277,27359,Eugene Dadi,41,0,0,for,41
402277,16539,Danny Senda,82,0,1,for,og 82
402277,36430,Andy Bell,78,0,0,against,78
403271,36344,Chris Dagnall,54,0,0,for,54
403271,8942,Russell Perrett,45,0,0,against,45
403271,16420,Gary McSheffrey,64,0,0,against,64
403271,9766,Adrian Forbes,72,0,0,against,72
403446,23662,David Friio,7,0,0,against,7
403446,8701,Paul Wotton,38,0,0,against,38
403446,35625,Peter Gilbert,45,0,0,against,45
403446,9392,Marino Keith,49,0,0,against,49
403446,2371,Micky Evans,56,0,0,against,56
403446,19144,David Norris,79,0,0,against,79
405395,5857,Shane Nicholson,78,0,0,for,78
405395,18869,Iain Hume,80,0,0,for,80
405395,5706,John Murphy,19,0,0,against,"19, 35, 43"
405395,5706,John Murphy,35,0,0,against,"19, 35, 43"
405395,5706,John Murphy,43,0,0,against,"19, 35, 43"
404299,18869,Iain Hume,70,0,0,for,70
404299,9708,Gareth Roberts,79,0,0,for,79
404299,2395,John Eyre,30,0,0,against,30
404687,3982,Gary Jones,90,0,0,for,90
404891,3343,Simon Haworth,5,0,0,for,5
404891,2735,Kevin Gallen,47,0,0,against,47
405713,107,Graham Allen,32,0,0,for,32
